# CAN Error Reference File
# Format: ERROR_TYPE|DATA_BYTE_0|DATA_BYTE_1|Friendly Message|Possible Cause|Possible Solution

# Error Types (ID)
1|0|*|Bit Error - Sending|Signal corrupted during transmission|Check wiring, nodes, bus termination, transceivers
1|1|*|Bit Error - Receiving|Signal corrupted during reception|Check wiring, nodes, bus termination, transceivers
2|0|*|Form Error - Sending|Frame format violation during transmission|Check frame format, CAN controller config, bus integrity
2|1|*|Form Error - Receiving|Frame format violation during reception|Check frame format, bus noise, wiring, nodes
4|0|2|Stuff Error - Sending at ID.28 to ID.21|Bus noise, incorrect voltage, faulty transceiver|Inspect CAN wiring, nodes, and bus termination
4|0|3|Stuff Error - Sending at Start of frame|Bus noise, timing error|Inspect CAN wiring, termination, check for reflections
4|0|4|Stuff Error - Sending at Bit SRTR|Bus noise or misaligned frames|Check CAN nodes and voltage levels
4|0|5|Stuff Error - Sending at BIT IDE|Incorrect arbitration or frame misalignment|Verify DBC file, node settings, bus load
4|0|6|Stuff Error - Sending at ID.20 to ID.18|Transmission issue|Check wiring and transceiver
4|0|7|Stuff Error - Sending at ID.17 to ID.13|Transmission issue|Check wiring and transceiver
4|0|8|Stuff Error - Sending at CRC Sequence|Bus noise, voltage levels, reflections|Check CAN bus wiring, termination, node voltages
4|0|10|Stuff Error - Sending at Data field|Transmission problem|Inspect wiring, transceiver, check CAN controller
4|0|11|Stuff Error - Sending at Data Length Code|Frame length mismatch|Verify DBC, check bus load
4|0|12|Stuff Error - Sending at Bit RTR|Remote frame misalignment|Check controller configuration and nodes
4|0|14|Stuff Error - Sending at ID.4 to ID.0|Arbitration issue|Check node config and bus integrity
4|0|15|Stuff Error - Sending at ID.12 to ID.5|Arbitration issue|Check node config and bus integrity
4|0|17|Stuff Error - Sending at Active Error Flag|High error rate|Check termination, wiring, transceivers
4|0|18|Stuff Error - Sending at Intermission|Bus disturbance|Inspect wiring and termination
4|0|19|Stuff Error - Sending at Tolerate dominant Bits|Bus noise|Check wiring, nodes, termination
4|0|23|Stuff Error - Sending at Error Delimiter|Transmission error|Check nodes and wiring
4|0|24|Stuff Error - Sending at CRC Delimiter|CRC error|Check bus termination and wiring
4|0|25|Stuff Error - Sending at Acknowledge Slot|ACK mismatch|Check all nodes responding properly
4|0|26|Stuff Error - Sending at End of Frame|Transmission error|Check wiring, nodes, termination
4|0|27|Stuff Error - Sending at Acknowledge Limiter|High error rate|Inspect nodes and termination
4|0|28|Stuff Error - Sending at Overload Flag|Bus overload|Reduce bus traffic, check wiring
4|1|2|Stuff Error - Receiving at ID.28 to ID.21|Bus noise, incorrect voltage, reflections|Check CAN wiring, nodes, and bus termination
4|1|3|Stuff Error - Receiving at Start of frame|Bus noise, timing error|Inspect wiring, termination, nodes
4|1|4|Stuff Error - Receiving at Bit SRTR|Bus noise or misaligned frames|Check CAN nodes and voltage levels
4|1|5|Stuff Error - Receiving at BIT IDE|Incorrect arbitration or frame misalignment|Verify DBC file, node settings, bus load
4|1|6|Stuff Error - Receiving at ID.20 to ID.18|Reception issue|Check wiring and transceiver
4|1|7|Stuff Error - Receiving at ID.17 to ID.13|Reception issue|Check wiring and transceiver
4|1|8|Stuff Error - Receiving at CRC Sequence|Bus noise, voltage levels, reflections|Check CAN bus wiring, termination, node voltages
4|1|10|Stuff Error - Receiving at Data field|Reception problem|Inspect wiring, transceiver, check CAN controller
4|1|11|Stuff Error - Receiving at Data Length Code|Frame length mismatch|Verify DBC, check bus load
4|1|12|Stuff Error - Receiving at Bit RTR|Remote frame misalignment|Check controller configuration and nodes
4|1|14|Stuff Error - Receiving at ID.4 to ID.0|Arbitration issue|Check node config and bus integrity
4|1|15|Stuff Error - Receiving at ID.12 to ID.5|Arbitration issue|Check node config and bus integrity
4|1|17|Stuff Error - Receiving at Active Error Flag|High error rate|Check termination, wiring, transceivers
4|1|18|Stuff Error - Receiving at Intermission|Bus disturbance|Inspect wiring and termination
4|1|19|Stuff Error - Receiving at Tolerate dominant Bits|Bus noise|Check wiring, nodes, termination
4|1|23|Stuff Error - Receiving at Error Delimiter|Reception error|Check nodes and wiring
4|1|24|Stuff Error - Receiving at CRC Delimiter|CRC error|Check bus termination and wiring
4|1|25|Stuff Error - Receiving at Acknowledge Slot|ACK mismatch|Check all nodes responding properly
4|1|26|Stuff Error - Receiving at End of Frame|Reception error|Check wiring, nodes, termination
4|1|27|Stuff Error - Receiving at Acknowledge Limiter|High error rate|Inspect nodes and termination
4|1|28|Stuff Error - Receiving at Overload Flag|Bus overload|Reduce bus traffic, check wiring
